,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Effect,0.284902636,0.85,0.84870105,0.234733028,0.85,0.283904614,0.235510374,0.85,0.849981196,0.23741051,0.731771479,0.403546931,0.839266127,0.336902713,0.23866945,0.849999994,0.294585053,0.606227003,0.824634864,0.260438327
No Effect,0.715097364,0.15,0.15129895,0.765266972,0.15,0.716095386,0.764489626,0.15,0.150018804,0.76258949,0.268228521,0.596453069,0.160733873,0.663097287,0.76133055,0.150000006,0.705414947,0.393772997,0.175365136,0.739561673
